number, player_name, position, mug_url, year
36,Reid Karel,DB,https://f5s002media.blob.core.windows.net/photos/0026566-kond-270x270.jpg,Sophomore
37,Wyatt Mazour,IB,https://f5s002media.blob.core.windows.net/photos/0026554-tkom-270x270.jpg,Sophomore
37,Collin Miller,DE,https://f5s002media.blob.core.windows.net/photos/0026550-asjf-270x270.jpg,Freshman (RS)
38,Damian  Jackson,LB,https://f5s002media.blob.core.windows.net/photos/0030172-duuj-270x270.jpg,Freshman
38,Harrison Jordan,FB,https://f5s002media.blob.core.windows.net/photos/0026570-ojbo-270x270.jpg,Senior
39,Cole Frahm,PK,https://f5s.blob.core.windows.net/web/themes/images/mugshot-empty.png,Freshman
40,Grant Jordan,LB,https://f5s002media.blob.core.windows.net/photos/0026571-frwn-270x270.jpg,Freshman (RS)
40,Brandon Robbins,WR,https://f5s002media.blob.core.windows.net/photos/0030176-htft-270x270.jpg,Freshman
41,Jose Marquez,DB,https://f5s002media.blob.core.windows.net/photos/0030173-ggjv-270x270.jpg,Freshman
41,Luke McNitt,FB,https://f5s002media.blob.core.windows.net/photos/0026551-ggrj-270x270.jpg,Senior
42,Cody Liske,LB,https://f5s002media.blob.core.windows.net/photos/0030156-powy-270x270.jpg,Freshman
43,Tyrin Ferguson,LB,https://f5s002media.blob.core.windows.net/photos/0026463-ogdf-270x270.jpg,Sophomore (RS)
43,Todd Honas,WR,https://f5s002media.blob.core.windows.net/photos/0026447-pxpy-270x270.jpg,Freshman (RS)
44,Mick Stoltenberg,DL,https://f5s002media.blob.core.windows.net/photos/0026520-klau-270x270.jpg,Junior
45,Ty Chaffin,WR,https://f5s002media.blob.core.windows.net/photos/0026481-fjso-270x270.jpg,Freshman (RS)
45,A.J. Natter,DE,https://f5s002media.blob.core.windows.net/photos/0026546-uucr-270x270.jpg,Senior
46,Joshua Kalu,CB,https://f5s002media.blob.core.windows.net/photos/0026567-eqko-270x270.jpg,Senior
47,Branden Hohenstein,TE,https://f5s002media.blob.core.windows.net/photos/0026448-ueod-270x270.jpg,Freshman (RS)
47,Matt Jarzynka,DE,https://f5s002media.blob.core.windows.net/photos/0026577-vlyn-270x270.jpg,Junior
48,Erik Evans,DE,https://f5s002media.blob.core.windows.net/photos/0026466-nomg-270x270.jpg,Senior
49,Austin Hemphill,FB,https://f5s002media.blob.core.windows.net/photos/0026449-aeap-270x270.jpg,Sophomore
49,Chris Weber,LB,https://f5s002media.blob.core.windows.net/photos/0026513-aqmi-270x270.jpg,Senior
50,John Raridon,OL,https://f5s002media.blob.core.windows.net/photos/0026533-lnka-270x270.jpg,Freshman (RS)
50,Ben Stille,DE,https://f5s002media.blob.core.windows.net/photos/0026522-ystd-270x270.jpg,Freshman (RS)
51,Matt Watts,OL,https://f5s002media.blob.core.windows.net/photos/0030174-sewe-270x270.jpg,Senior
52,Andrew Ward,LB,https://f5s002media.blob.core.windows.net/photos/0030166-rlwh-270x270.jpg,Freshman
54,Jordan Ober,LS,https://f5s002media.blob.core.windows.net/photos/0026540-ahln-270x270.jpg,Junior
55,Jordan Paup,DL,https://f5s002media.blob.core.windows.net/photos/0030159-lwcp-270x270.jpg,Freshman
55,Chris Walker,OL,https://f5s002media.blob.core.windows.net/photos/0030165-zdro-270x270.jpg,Freshman
56,Boe Wilson,OL,https://f5s002media.blob.core.windows.net/photos/0026505-lpzi-270x270.jpg,Freshman (RS)
57,Jacob Weinmaster,LB,https://f5s002media.blob.core.windows.net/photos/0026512-ydgv-270x270.jpg,Sophomore
58,Joel Lopez,DL,https://f5s002media.blob.core.windows.net/photos/0026556-uqii-270x270.jpg,Senior
59,Jake Kitten,OL,https://f5s002media.blob.core.windows.net/photos/0026871-xjct-270x270.jpg,Freshman (RS)
61,Bryan Brokop,OL,https://f5s002media.blob.core.windows.net/photos/0026487-ggyq-270x270.jpg,Freshman (RS)
62,Cole Conrad,OL,https://f5s002media.blob.core.windows.net/photos/0026477-tbye-270x270.jpg,Junior
63,Tanner Farmer,OL,https://f5s002media.blob.core.windows.net/photos/0026465-czph-270x270.jpg,Junior
65,Christian Gaylord,OL,https://f5s002media.blob.core.windows.net/photos/0026457-jdbg-270x270.jpg,Sophomore
66,Hunter Miller,OL,https://f5s002media.blob.core.windows.net/photos/0030158-dvzo-270x270.jpg,Freshman
